,1239-5-10-16S,1250-5-10-16S,13-5-10-16S,1338-5-10-16S,1387-5-10-16S,522-5-10-16S,672-5-10-16S,717-5-10-16S,856-5-10-16S,98-5-10-16S,1859-5-10-16S,1601-5-10-16S,1619-5-10-16S,1832-5-10-16S,1850-5-10-16S,1875-5-10-16S,1973-5-10-16S,2355-5-10-16S,2398-5-10-16S,2500-5-10-16S,2352-5-10-16S,2537-5-10-16S,2597-5-10-16S,2629-5-10-16S,2893-5-10-16S,2923-5-10-16S,2869-5-10-16S,3239-5-10-16S,3381-5-10-16S,3409-5-10-16S,3667-5-10-16S,3682-5-10-16S,3779-5-10-16S,3907-5-10-16S,473-5-10-16S,554-5-10-16S
ASV10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001789309,0,0,0,0,0,0,0
ASV10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000894654,0,0,0,0,0,0,0
ASV10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782823,0,0,0,0,0,0,0
ASV1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001347255,0,0,0.000413822,0,0,0,0,0,0,0,0,0,0,0,0.000740245,0,0,0,0,0
ASV10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162453,0,0,0,0,0,0
ASV1006,0,0.000460617,0.002463433,0,0,0,0,0,0,0,0,0,0,0,0,0.001234984,0,0,0.000362094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV1007,0,0,0,0,0.002643247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463346,0,0,0.00144126,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422997,0,0,0,0,0
ASV1008,0,0,0,0,0,0,0,0,0.000650125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972013,0,0,0,0,0,0,0,0.000458247,0,0,0,0,0
ASV1009,0,0.001036389,0,0,0,0,0,0.003044253,0,0,0,0,0,0,0.000358659,0,0,0,0,0,0,0,0,0,0,0,0,0.002250887,0,0,0,0,0,0,0,0
ASV10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394388,0,0,0,0
ASV10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002494897,0,0
ASV10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV101,0,0.001784892,0.004541955,0,0,0,0,0.002747253,0,0.003207385,0.001709933,0,0,0,0.003467033,0,0,0,0,0,0,0,0,0,0,0,0,0.001212016,0,0,0,0.002140966,0.003397124,0.003175323,0.001880204,0
ASV1010,0,0,0,0,0,0.001116556,0.000329598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000543076,0,0,0,0,0,0,0,0,0
ASV10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901459,0,0,0,0
ASV1011,0,0,0.001462664,0,0,0,0,0,0,0,0,0,0.000463679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1012,0.000932604,0,0,0,0.002557981,0,0.000164799,0,0.000379239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003016591,0,0,0.00049985,0.000444335,0,0,0,0,0,0,0,0,0
ASV1013,0,0,0,0,0,0,0.001757855,0,0,0,0,0,0,0,0.001016199,0,0,0,0,0,0,0.003109729,0.000636836,0,0.000995745,0.00229931,0,0,0,0,0.000387747,0,0,0,0,0.000774668
ASV10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811799,0,0,0
ASV10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811799,0,0,0
ASV10138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811799,0,0,0
ASV10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811799,0,0,0
ASV1014,0,0,0,0,0,0.002977483,0,0,0.001246072,0,0,0,0,0,0,0,0,0,0.000620732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001811799,0,0,0
ASV10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009059,0,0,0
ASV1015,0,0,0,0,0,0,0,0.002450252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000680426,0,0
ASV10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628941,0,0
ASV10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628941,0,0
ASV1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001185677,0,0,0,0,0,0,0,0,0.000536283,0,0,0,0,0,0,0,0.000317248,0,0,0,0,0.002178755
ASV10162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004297609,0
ASV1017,0,0,0,0,0,0,0,0,0,0.000860518,0,0,0,0,0,0,0.00167804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006253873,0,0,0,0
ASV10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014525
ASV10175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774668
ASV10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774668
ASV10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774668
ASV10178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774668
