,1239-5-10-16S,1250-5-10-16S,13-5-10-16S,1338-5-10-16S,1387-5-10-16S,522-5-10-16S,672-5-10-16S,717-5-10-16S,856-5-10-16S,98-5-10-16S,1859-5-10-16S,1601-5-10-16S,1619-5-10-16S,1832-5-10-16S,1850-5-10-16S,1875-5-10-16S,1973-5-10-16S,2355-5-10-16S,2398-5-10-16S,2500-5-10-16S,2352-5-10-16S,2537-5-10-16S,2597-5-10-16S,2629-5-10-16S,2893-5-10-16S,2923-5-10-16S,2869-5-10-16S,3239-5-10-16S,3381-5-10-16S,3409-5-10-16S,3667-5-10-16S,3682-5-10-16S,3779-5-10-16S,3907-5-10-16S,473-5-10-16S,554-5-10-16S
ASV10829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002494897,0,0
ASV1083,0,0,0,0.002174307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000837942,0,0,0,0.001530486,0,0,0,0,0,0,0,0,0.002081921
ASV10830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003402132,0,0
ASV10837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004029009,0
ASV1084,0,0,0,0,0.002984311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000827404,0,0,0.001508296,0,0,0,0,0,0,0,0,0,0,0,0,0.000629418
ASV1085,0,0.001266697,0,0,0,0,0,0,0,0,0.000699518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599246,0,0.002604462,0,0,0
ASV10851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV10857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726252
ASV1086,0,0,0,0,0,0,0,0,0.001733666,0,0,0.000100195,0,0,0,0,0.001454301,0,0.000103455,0,0,0,0.000234624,0,0,0,0,0,0,0,0,0.000788777,0,0,0,0.000823085
ASV1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001241465,0,0,0,0,0.00170911,0,0,0,0,0,0,0,0,0,0,0,0
ASV10887,0,0,0,0,0,0,0,0,0.000270885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10888,0.00087043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10889,0.00087043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10890,0.00087043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV109,0.003668242,0,0,0.003865435,0.002302183,0,0.004449572,0,0.002221259,0,0,0,0,0,0,0,0,0.002660238,0.001034554,0.006453748,0,0.007404117,0.001340707,0.002734575,0.003439848,0,0,0,0,0.002132196,0.001022243,0,0,0,0,0.003050257
ASV1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001407743,0,0,0,0.001481116,0,0,0,0,0,0,0,0,0.002324005
ASV10904,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10905,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10906,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10907,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10908,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10909,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1091,0,0.002475818,0.000846805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10910,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10911,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10912,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10913,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10914,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10915,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10916,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10917,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10918,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10926,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10927,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10928,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10929,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1093,0,0,0,0.000905961,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0.001707014,0,0,0,0,0.000341822,0,0,0,0,0,0,0,0,0,0,0,0
ASV10930,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10931,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10932,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10933,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10934,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10935,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10936,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1094,0,0,0,0,0,0,0,0,0.001083541,0,0,0.000150293,0,0,0,0.000673627,0.000223739,0,0,0,0,0,0.000167588,0,0,0,0,0.000432863,0,0,0,0,0,0,0,0
ASV10944,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10945,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10946,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10947,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10948,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10949,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1095,0,0,0.003618168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004068912,0,0.000203066,0,0,0,0.00385575,0,0
ASV10950,0,0,0,0.000845564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10956,0,0,0,0,0.001193724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10957,0,0,0,0,0.001193724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10958,0,0,0,0,0.001193724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1096,0,0,0,0,0,0,0,0,0.000704302,0,0,0,0,0,0,0,0.002461125,0,0.000569005,0,0,0,0.000134071,0,0,0,0,0,0,0.000101533,0.000246748,0,0,0,0,0
ASV1097,0,0,0,0,0,0,0.001483191,0,0,0,0,0,0,0.009485416,0,0,0,0,0,0,0.002769572,0,0.001139601,0,0,0,0,0,0,0,0.000352497,0,0,0,0,0
ASV10973,0,0,0,0,0,0,0,0,0.000433416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1098,0,0,0,0.000120795,0,0,5.49E-05,0,0,0,0,0,0,0.000711406,0,0,0.002572995,0,0.000258639,0,0,0.000296165,0,0.000170911,0,0,0.000197482,0,0,0,0,0,0,0,0,0.000484168
ASV1099,0,0,0,0.000603974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001551831,0,0,0,0.000972013,0,0.000905223,0,0,0,0,0,0.000422997,0,0,0,0,0
ASV10997,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10998,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10999,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0.014486446,0,0,0.007670472,0.007673943,0.015011476,0.00829488,0,0.005363528,0,0,0.004258304,0,0.005454114,0.00352681,0.002133154,0,0.004406019,0.002534658,0.020023167,0.005723781,0.004738635,0.006368359,0.008631003,0.008328053,0.00489853,0,0,0,0.010559448,0.016743629,0,0,0,0,0.002953423
ASV110,0,0,0,0.001026756,0.001705321,0,0,0.001188001,0,0.001486349,0.001088139,0,0,0,0.001613964,0,0.002461125,0.00340843,0,0,0,0.001036576,0,0,0.002806192,0.00479856,0,0.003636049,0,0.011473246,0.000775494,0.0009578,0.001925037,0,0.012355627,0
ASV11000,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11001,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11002,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11003,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11004,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11005,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11006,0,0,0,0,0,0.000868432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11007,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11008,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11009,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1101,0,0,0,0,0,0,0,0,0,0,0,0.004208206,0.001236476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11010,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11011,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11012,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11013,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11014,0,0,0,0,0,0,0.000769062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11015,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11016,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11017,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11018,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11019,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159952,0,0,0,0,0.000881244,0,0,0,0,0
ASV11020,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11021,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11022,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11023,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11024,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11025,0,0,0,0,0,0,0,0.001039501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11029,0,0,0,0,0,0,0,0,0.000758479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952597,0,0
ASV11030,0,0,0,0,0,0,0,0,0.000758479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11031,0,0,0,0,0,0,0,0,0,0.001095205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11032,0,0,0,0,0,0,0,0,0,0.001095205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11033,0,0,0,0,0,0,0,0,0,0.001095205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11034,0,0.000345463,0,0,0,0,0,0,0,0.000391144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259718,0,0,0,0,0,0,0,0
ASV11035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034629,0,0,0,0,0,0,0,0
ASV11037,0,0,0,0.000603974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197482,0,0,0,0,0,0,0,0,0
ASV11038,0,0,0,0,0.000511596,0.000186093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105749,5.63E-05,0,0,0,0
ASV11042,0,0,0,0.000543577,0,0,0,0,0,0,0.000388621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11043,0,0,0,0,0,0,0,0,0,0.000625831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11044,0,0,0,0,0,0.000558278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11045,0,0,0,0,0,0,0,0,0.000487593,0,0,0,0,0,0,0,0,0,0.000258639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11047,0,0,0.000384911,0,0,0,0,0,0,0,0,0,7.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11048,0,0,0,6.04E-05,0,6.20E-05,0,0,0.000270885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52E-05,0,0,0,0,0
ASV11049,0,0,0,0,0,0.000248124,0,0,0,0,0,0,0,0,0,0,0,0.000249397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1105,0,0,0.002155504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11051,0,0,0,0,0,0,0.000439464,0,0,0,0,0,0,0,0,0.000673627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11052,0,0,0,0,0,0,0,0,0,0.000625831,0.000466345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782823,0,0,0,0,0,0,0
ASV11054,0,0,0,0,0,0,0,0,0,0,0,0,0.000540958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11055,0,0,0,0.000422782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338917
ASV11056,0,0,0,0,0,0.000434216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11057,0.000373042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1106,0,0,0,0,0,0.001674834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001623654,0,0,0,0,0,0,0,0,0,0,0,0
ASV11060,0,0,0,0,0,0.000372185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000362089,0,0,0,0,0,0,0,0,0,0,0
ASV11063,0,0,0,0,0,0,0,0,0,0.000391144,0,0,0.000695518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11068,0,0,0,0,0,0,0,0,0,0,0.000155448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11069,0,0,0,0,0,0,0,0,0,0.000312916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1107,0,0,0,0,0,0,0,0,0,0,0.002642624,0,0,0,0,0,0.00167804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11070,0,0,0,0,0,0,0,0,0,0.000312916,0,0,0,0,0.000298882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11071,0.000186521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11072,0,0,0,6.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0.000165481,0,0,0,0,0,0,0,0.000259718,0,0,0,0,0,0,0,0
ASV11073,0,0,0,0,0,0,0,0,0.000162531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11074,0,0,0,0,0,0,0,7.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000447327,0,0,0,0.000113237,0,0,0
ASV11075,0,0,0,0,0,0,0,0,0,0.000156458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394964,0,0,0,0,0,0,0,0,9.68E-05
ASV11076,0,0,0,0,8.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029991,0,0,0,0,0,0.000112682,0,0,0,0
ASV11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000169024,0,0,0,0
ASV11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000894955,0,0,0,0,0,0,0,0,0,9.87E-05,0,0,0,0,0,0,0,0,0
ASV1108,0,0,0,0,0,0,0,0,0.001950374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009197241,0,0,0,0,0,0,0,0,0.005103411,0
ASV11080,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11081,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11082,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11083,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11084,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11085,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11086,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11087,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11088,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11089,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1109,0,0.00080608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001347255,0,0,0,0,0,0,0,0,0,0,0,0.000779153,0,0,0,0,0,0,0,0
ASV11090,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11091,0,0,0,0,0,0,0,0,0,0,0.001088139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
