,stand_age_years,BAtotal_2020,BAI
1-0-5-ITS,75,0.147,0.004
1239-0-5-ITS,117,0.304,0.007
1250-0-5-ITS,89,0.039,0.003
1338-0-5-ITS,110,0.668,0
1387-0-5-ITS,110,0.088,0.002
522-0-5-ITS,101,0.547,0.008
856-0-5-ITS,57,0.302,0
98-0-5-ITS,76,0.14,0.002
1601-0-5-ITS2,50,1.238,0.061
1619-0-5-ITS2,52,0.04,0.008
1832-0-5-ITS2,119,0.634,0.002
1850-0-5-ITS2,89,0.488,0.024
1859-0-5-ITS2,15,0.117,0.016
1875-0-5-ITS2,81,0.417,0.006
1973-0-5-ITS2,93,0.525,0.012
2355-0-5-ITS2,108,0.658,0.003
2352-0-5-ITS2,48,0.529,0.018
2597-0-5-ITS2,101,0.256,0.012
2398-0-5-ITS2,118,0.375,0.002
2500-0-5-ITS2,126,0.052,0.007
2537-0-5-ITS2,123,0.199,0.004
2629-0-5-ITS2,108,0.411,0.007
2869-0-5-ITS2,69,0.79,0.008
2893-0-5-ITS2,96,0.28,0.008
2923-0-5-ITS2,68,0.075,0.004
3239-0-5-ITS2,46,0.539,0.01
3381-0-5-ITS2,67,0.768,0.009
3409-0-5-ITS2,95,0.201,0.011
3500-0-5-ITS2,115,0.263,0.006
3667-0-5-ITS2,85,0.176,0.006
3682-0-5-ITS2,81,0.424,0.009
3779-0-5-ITS2,43,0.206,0.014
3907-0-5-ITS2,91,0.352,0.011
473-0-5-ITS2,82,0.25,0
554-0-5-ITS2,96,0.416,0.002
672-0-5-ITS2,123,0.224,0
717-0-5-ITS2,85,0.24,0.004
